No_of_movies,       Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
1,                  ,,,Drama,,2,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia
2,                  #Gadhvi (He thought he was Gandhi),2019,109,Drama,,7,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
3,                  #Homecoming,2021,90,"Drama, Musical",7,8,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
4,                  #Yaaram,2019,110,"Comedy, Romance",,50,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
5,                  ...And Once Again,2010,105,Drama,4.4,35,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
6,                  ...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",,50,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
7,                  ...Yahaan,2005,142,"Drama, Romance, War",4.7,827,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
8,                  .in for Motion,2008,59,Documentary,7.4,1086,Anirban Datta,        -------,        -------,        -------
9,                  ?: A Question Mark,2012,82,"Horror, Mystery, Thriller",,50,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
10,                 @Andheri,2014,116,"Action, Crime, Thriller",5.6,326,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
11,                 1:1.6 An Ode to Lost Love,2004,96,Drama,4,11,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
12,                 1:13:7 Ek Tera Saath,2016,120,Horror,6.2,17,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
13,                 100 Days,1991,161,"Horror, Romance, Thriller",5.9,59,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffre
14,                 100% Love,2012,166,"Comedy, Drama, Romance",6.5,983,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
15,                 101 Ratein,1990,,Thriller,5.7,512,Harish,Saraswati,Disco Shanti,                  -----                        
16,                 102 Not Out,2018,102,"Comedy, Drama",,50,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
17,                 108 Limited,,,        -------,7.4,6619,Anand Anddy,Vijay Raaz,Sanjay Mishra,Brahmanandam
18,                 108 Teerthyatra, ,,"Comedy, Drama, Fantasy",,50,Rajpati,Pravin Anand,Nayan Bhatt,Jeetu
19,                 10ml LOVE,2010,87,"Comedy, Drama, Romance",,50,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
20,                 11 O'Clock,1948,,        -------,6.3,162,Homi Wadia,Aftab,Sayani Atish,Austin Ki Bachchi
21,                 12 Bulbule,2021,,"Comedy, Drama, Family",,50,Jagat Joon,Sonu Sonkar,Sunita Verman,Anubhav Dixit
22,                 12 O'Clock,1958,132,"Crime, Drama, Mystery",,50,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
23,                 12 O'Clock,2021,105,"Horror, Thriller",7.2,72,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
24,                 12 Years,,,Biography,4.4,63,Sohail Tatari,                  -----                        ,                  -----                        ,                  -----                        
25,                 124a,2021,,Documentary,,50,Varrun Sukhraj,                  -----                        ,                  -----                        ,                  -----                        
26,                 127 B,2017,116,"Comedy, Horror",,50,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
27,                 13 May Gulaabi Nagar,2010,,Action,6.6,26,N.K. Pareek,Nirmal Pandey,Khushi Rajpoot,Raj Singh Verma
28,                 13 Tribute of Love,2020,66,Drama,,50,Rahul Tiwari,Rahul Tiwari Adhiyari,Anil Arora,Asima Bhatt
29,                 13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",,50,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
30,                 14 Phere,2021,,Comedy,7.3,6329,Devanshu Singh,Vikrant Massey,Kriti Kharbanda,Gauahar Khan
31,                 15 Park Avenue,2005,116,Drama,,50,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
32,                 150 Seconds Ago,2002,112,        -------,7.1,1002,Batul Mukhtiar,                  -----                        ,        -------,        -------
33,                 15th August,1993,168,Drama,,50,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
34,                 ,2002,158,"Action, Thriller",5.6,0,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
35,                 ,2014,126,Action,6.9,1235,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
36,                 ,1946,,"Drama, History",3.5,10,Mohan Sinha,Nigar Sultana,Suraiya,Menaka Devi
37,                 19 Revolutions,2004,94,Drama,5,8,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
38,                 ,,,"Drama, History, Sport",4.5,16,Nikkhil Advani,John Abraham,        -------,        -------
39,                 ,2008,138,"Horror, Mystery, Romance",,50,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
40,                 1920 London,2016,120,"Horror, Mystery",6.4,3100,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
41,                 1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.1,1559,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
42,                 ,2018,144,"Horror, Mystery, Romance",4.8,1811,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
43,                 1942: A Love Story,1994,157,"Action, Drama, History",4.5,1069,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
44,                 ,2007,136,"Action, Drama, War",7.2,3223,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
45,                 1978: A Teen Night Out,2019,107,Thriller,8.1,1892,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
46,                 1982 - A Love Marriage,2017,113,Comedy,4,20,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
47,                 19th January,2014,,Drama,5.5,106,Sanjay Amar,Mumtaz Ahmed,Bidita Bag,Madhuri Bhatia
48,                 2 Band Radio,2019,,Comedy,7.3,16,Saki Shah,Bilal Ahamad Bhagat,Neelu Dogra,Rahat Kazmi
49,                 2 GB Ki Life,,,Drama,,50,        -------,        -------,        -------,        -------
50,                 2 Little Indians,2013,,"Comedy, Family",,50,Ravi Bhatia,Ravi Bhatia,Ronak Bhatia,Kamal Chopra
51,                 2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",5.6,14,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
52,                 ,2003,122,"Action, Crime, Thriller",6.8,21,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
53,                 2 Piece,2005,,Drama,5,33,Kishan Shah,Ramesh Goyal,Satnam Kaur,Anil Nagrath
54,                 2 States,2014,149,"Comedy, Drama, Romance",,50,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
55,                 ,2018,148,"Action, Sci-Fi",6.9,24034,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
56,                 2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",6.2,21938,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
57,                 2006 Varanasi: The Untold,2018,,Drama,3.5,112,Aryeman Ramsay,Mukul Dev,Rahul Dev,Ravi Kishan
58,                 2007 the last encounter,2018,,Drama,,50,Partha Sarkar,Bidita Bag,Sameer Dharmadhikari,Jatin Goswami
59,                 2016 the End,2017,130,Comedy,,50,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
60,                 21: Battle of Saragarhi,,,War,6.1,94,Rajkumar Santoshi,Randeep Hooda,Vikramjeet Virk,Nitin Chauhan
61,                 22 Days,2018,124,Thriller,,50,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
62,                 22 June 1897,1979,121,"Drama, History",6.1,8,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
63,                 22 Yards,2019,126,Sport,7.7,52,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
64,                 23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",6.1,361,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
65,                 24 Ghante,1998,,Thriller,5.1,642,Tinnu Anand,Bharat Kapoor,Goga Kapoor,Amrit Pal
66,                 25th July,1951,,        -------,,50,Chitra Mitra,        -------,        -------,        -------
67,                 ,1956,,        -------,7.6,5,Ramesh Saigal,Ajit,        -------,        -------
68,                 26th January,1956,,Drama,6.6,7,Ramesh Saigal,Ajit,Nalini Jaywant,Leela Mishra
69,                 26th July at Barista,2008,,Drama,,50,Mohan Sharma,Ajita,Himani Chawla,Sumeet Chawla
70,                 27 Down,1974,115,Drama,3.1,32,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
71,                 3 AM: A Paranormal Experience,2014,103,"Horror, Romance",6.9,194,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
72,                 3 Bachelors,2012,114,"Comedy, Romance",5,514,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
73,                 3 Days 4 Nights in Bihar,2020,,Comedy,3.3,165,Abhishek Dogra,Jackky Bhagnani,Sharman Joshi,Ruslaan Mumtaz
74,                 3 Deewarein,2003,115,"Crime, Drama",,50,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
75,                 3 Dev,2019,122,Comedy,7.8,2322,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
76,                 3 Idiots,2009,170,"Comedy, Drama",6.9,35,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
77,                 3 Nights 4 Days,2009,,"Drama, Romance",8.4,357889,Devang Dholakia,Sameer Aftab,Hrishitaa Bhatt,Anuj Sahani
78,                 3 Shyaane,2020,,Comedy,5.2,0,Anees Barudwale,Asrani,Rakesh Bedi,Priyanshu Chatterjee
79,                 3 Storeys,2018,100,Drama,,50,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
80,                 3.0 Megapixel,2015,99,"Adventure, Drama",6.9,358,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
81,                 30 Days,2004,,Horror,4.3,6,Ravi Sinha,Abhay Bhargava,Milind Gunaji,Dinesh Hingoo
82,                 30 Minutes,2016,,Thriller,5,14,Yesudas,Rana Jung Bahadur,Hrishitaa Bhatt,Shiva Kumar
83,                 31st October,2015,109,"Action, Drama, History",4.8,26,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
84,                 ,2009,,Thriller,5.8,238,Suryaprakash Lakkoju,Ragesh Asthana,Iqbal Azad,Ahsaas Channa
85,                 36 China Town,2006,140,"Comedy, Mystery, Thriller",4.6,9,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
86,                 36 Chowringhee Lane,1981,122,"Drama, Romance",5.7,4373,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
87,                 36 Ghante,1974,,"Action, Crime, Drama",7.5,392,Raj Tilak,Raaj Kumar,Mala Sinha,Sunil Dutt
88,                 376 D,2020,128,"Crime, Thriller",6.7,128,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
89,                 377 AbNormal,2019,93,Drama,5.7,252,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
90,                 3D Saamri,1985,102,Horror,5.6,93,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
91,                 3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",5.6,80,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
92,                 3rd EYE,2019,145,Horror,3.6,1128,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
93,                 3rd November,2016,,Horror,6.3,6,Vasant Narkar,Minakshi Bhagat,Pragya Chahar,Kabir Khan
94,                 4 Sum,,96,"Crime, Drama, Thriller",,50,Neeraj Gwal,Pranav Chandrakar,Yashwant Anand Gupta,Neeraj Uke
95,                 404: Error Not Found,2011,121,"Drama, Mystery, Thriller",,50,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
96,                 417 Miles,2016,75,Drama,7.3,2548,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
97,                 42 Kms.,2009,,"Drama, Sport",4.8,9,Nisha Chainani,Mandira Bedi,Bikram Saluja,Sammir Dattani
98,                 498A-The Wedding Gift,2012,113,"Drama, Family, Musical",3.9,14,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
99,                 4pm on the Court,2011,115,Sport,7.8,21,Shine Krishna,Ashish Bhatia,Naveen Kaushik,Vinay Sharma
100,                5 Ghantey Mien 5 Crore,2012,111,Thriller,,50,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
101,                5 Rifles,1974,134,"Action, Comedy",5.7,75,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
102,                5 Rifles,2001,,Action,6.5,36,Hemant Birje,Anu Kashyap,Raza Murad,Paintal
103,                5 Rupees,2018,,        -------,,40,Piyush Panjuani,Shabana Azmi,Yohaan Panjuani,        -------
104,                50 Lakh,2007,,"Comedy, Thriller",,40,Chandra Sekhar Yeleti,Pawan Malhotra,Mohit Chadha,Veerendra Chauhan
105,                500 Ka Note,2002,,Thriller,6.5,82,Tinnu Anand,Birbal,Chandrashekhar,Siddharth Dhawan
106,                5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",,40,G. Venugopal,Akash,Avinash,Gagan
107,                6.40 PM,1967,,        -------,4.6,19,Mani Kaul,        -------,        -------,        -------
108,                6387 Meters Black Peak,2020,85,Documentary,5.4,5,Kovid Mittal,Kovid Mittal,        -------,        -------
109,                64 Kaam Kalayen,2002,,Thriller,,40,Hemant Birje,Ankush Mohite,Kirti Rawal,        -------
110,                6-5=2,2014,104,Horror,,40,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
111,                68 Pages,2007,92,Drama,4.2,171,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
112,                69 Opposites Attract,2011,96,Comedy,6.2,31,Amit r Agarwal,Amit r Agarwal,Kiran Kaur,        -------
113,                69 Reality in Us,,,"Drama, Romance, Thriller",,40,Samir Khan,        -------,        -------,        -------
114,                7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",,40,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
115,                7 Bijliyaan,1988,126,Action,5.3,281,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
116,                7 Days,1995,,"Action, Drama",5,7,Sunil Kumar,Arvind Singh,Channa Ruparel,Avtar Gill
117,                7 Hours to Go,2016,115,"Crime, Thriller",3.4,10,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
118,                7 Islands and a Metro,2006,100,Documentary,5.7,398,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
119,                7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.2,10,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
120,                7 Saal Baad,1987,127,"Drama, Horror, Musical",6.1,0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
121,                ,2019,120,Thriller,4.1,34,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
122,                72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,449,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
123,                777 Charlie,,136,"Adventure, Comedy, Drama",5.3,249,Kiranraj K,Rakshit Shetty,Charlie,Sangeetha Sringeri
124,                7th Villa,2018,125,Horror,,40,Ajay Arak,Meenal Chauhan,Mansi Sharma,Vinit
125,                8 PM: A Murder Mystery,2008,,Mystery,,40,Sunil Bhojwani,Krishna Abhishek,Ramesh Bachwani,Dravika
126,                8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",,40,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
